NSE,,BSE,NSE.SYMBOL,BSE.SYMBOL
Bafna Pharmaceuticals Limited,,West Coast Paper Mills Ltd,BAFNAPH,500444
B.A.G Films and Media Limited,,Hindustan Organic Chemicals Ltd,BAGFILMS,500449
Baid Finserv Limited,,MPIL Corporation Ltd,BAIDFIN,500450
Bajaj Auto Limited,,Pasupati Acrylon Ltd,BAJAJ-AUTO,500456
Bajaj Consumer Care Limited,,Kore Foods Ltd,BAJAJCON,500458
Bajaj Electricals Limited,,Procter & Gamble Hygiene and Health Care Ltd,BAJAJELEC,500459
Bajaj Finserv Limited,,Mukand Ltd,BAJAJFINSV,500460
Bajaj Healthcare Limited,,Black Box Ltd,BAJAJHCARE,500463
Bajaj Housing Finance Limited,,Ucal  Ltd,BAJAJHFL,500464
Bajaj Hindusthan Sugar Limited,,Harrisons Malayalam Ltd,BAJAJHIND,500467
Bajaj Holdings & Investment Limited,,Federal Bank Ltd,BAJAJHLDNG,500469
Indef Manufacturing Limited,,Tata Steel Ltd,BAJAJINDEF,500470
Bajel Projects Limited,,SKF India Ltd,BAJEL,500472
Bajaj Finance Limited,,Ashok Leyland Ltd,BAJFINANCE,500477
Shree Tirupati Balajee Agro Trading Company Limited,,Cummins India Ltd,BALAJEE,500480
Balaji Telefilms Limited,,Tata Communications Ltd,BALAJITELE,500483
Balaji Amines Limited,,Abbott India Ltd,BALAMINES,500488
BALAXI PHARMACEUTICALS LIMITED,,Bajaj Holdings & Investment Ltd,BALAXI,500490
Balkrishna Paper Mills Limited,,Bharat Forge Ltd,BALKRISHNA,500493
Balkrishna Industries Limited,,Escorts Kubota Ltd,BALKRISIND,500495
Balmer Lawrie & Company Limited,,Hindustan Motors Ltd,BALMLAWRIE,500500
Bal Pharma Limited,,Larsen & Toubro Ltd,BALPHARMA,500510
Balrampur Chini Mills Limited,,Mahindra & Mahindra Ltd,BALRAMCHIN,500520
Balu Forge Industries Limited,,Bosch Ltd,BALUFORGE,500530
Banaras Beads Limited,,Premier Ltd,BANARBEADS,500540
Bannari Amman Sugars Limited,,Bharat Petroleum Corporation Ltd,BANARISUG,500547
Banco Products (I) Limited,,Siemens Ltd,BANCOINDIA,500550
Bandhan Bank Limited,,Tata Motors Ltd,BANDHANBNK,500570
Bang Overseas Limited,,Voltas Ltd,BANG,500575
Banka BioLoo Limited,,Great Eastern Shipping Company Ltd,BANKA,500620
Bank of Baroda,,Deepak Fertilisers & Petrochemicals Corporation Ltd,BANKBARODA,500645
Bank of India,,Excel Industries Ltd,BANKINDIA,500650
Bansal Wire Industries Limited,,Garware Hi-Tech Films Ltd,BANSALWIRE,500655
Banswara Syntex Limited,,GlaxoSmithKline Pharmaceuticals Ltd,BANSWRAS,500660
Barbeque Nation Hospitality Limited,,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,BARBEQUE,500670
BASF India Limited,,Novartis India Ltd,BASF,500672
Bannari Amman Spinning Mills Limited,,Sanofi India Ltd,BASML,500674
Bata India Limited,,Pfizer Ltd,BATAINDIA,500680
Bayer Cropscience Limited,,Gujarat State Fertilizers & Chemicals Ltd,BAYERCROP,500690
Bharat Bijlee Limited,,Hindustan Unilever Ltd,BBL,500696
Black Box Limited,,Akzo Nobel India Ltd,BBOX,500710
Bombay Burmah Trading Corporation Limited,,NOCIL Ltd,BBTC,500730
B&B Triplewall Containers Limited,,Tata Chemicals Ltd,BBTCL,500770
Bcl Industries Limited,,Tamilnadu Petroproducts Ltd,BCLIND,500777
Brand Concepts Limited,,Zuari Industries Ltd,BCONCEPTS,500780
Bharat Dynamics Limited,,Nestle India Ltd,BDL,500790
Beardsell Limited,,Tata Consumer Products Ltd,BEARDSELL,500800
Mrs. Bectors Food Specialities Limited,,Asian Paints Ltd,BECTORFOOD,500820
Bedmutha Industries Limited,,Britannia Industries Ltd,BEDMUTHA,500825
Bharat Electronics Limited,,Colgate Palmolive (India) Ltd,BEL,500830
BEML Limited,,EIH Ltd,BEML,500840
Bhansali Engineering Polymers Limited,,Indian Hotels Company Ltd,BEPL,500850
Berger Paints (I) Limited,,Castrol India Ltd,BERGEPAINT,500870
Best Agrolife Limited,,ITC Ltd,BESTAGRO,500875
BF Investment Limited,,Apollo Tyres Ltd,BFINVEST,500877
BF Utilities Limited,,Ceat Ltd,BFUTILITIE,500878
BGR Energy Systems Limited,,Modi Rubber Ltd,BGRENERGY,500890
Bhagiradha Chemicals & Industries Limited,,Finolex Industries Ltd,BHAGCHEM,500940
Bhageria Industries Limited,,Sunrise Industrial Traders Ltd,BHAGERIA,501110
Bhagyanagar India Limited,,Gold Rock Investments Ltd,BHAGYANGR,501111
Bhandari Hosiery Exports Limited,,Peoples Investments Ltd,BHANDARI,501144
Bharat Forge Limited,,Dalal Street Investments Ltd,BHARATFORG,501148
Bharat Gears Limited,,Centrum Capital Ltd,BHARATGEAR,501150
Bharat Rasayan Limited,,TCI Finance Ltd,BHARATRAS,501242
Bharat Seats Limited,,Kratos Energy & Infrastructure Ltd,BHARATSE,501261
Bharat Wire Ropes Limited,,Antariksh Industries Ltd,BHARATWIRE,501270
Bharti Airtel Limited,,Industrial Investment Trust Ltd,BHARTIARTL,501295
Bharti Hexacom Limited,,Industrial & Prudential Investment Company Ltd,BHARTIHEXA,501298
Bharat Heavy Electricals Limited,,Tata Investment Corporation Ltd,BHEL,501301
Bigbloc Construction Limited,,Jayabharat Credit Ltd,BIGBLOC,501311
Bikaji Foods International Limited,,Prismx Global Ventures Ltd,BIKAJI,501314
Bhartiya International Limited,,Motor & General Finance Ltd,BIL,501343
Binani Industries Limited,,Rapid Investments Ltd,BINANIIND,501351
Biocon Limited,,Walchand Peoplefirst Ltd,BIOCON,501370
Biofil Chemicals & Pharmaceuticals Limited,,Swastik Safe Deposit & Investments Ltd,BIOFILCHEM,501386
Birla Cable Limited,,WH Brady & Company Ltd,BIRLACABLE,501391
Birla Corporation Limited,,TechNVision Ventures Ltd,BIRLACORPN,501421
Aditya Birla Money Limited,,Shaily Engineering Plastics Ltd,BIRLAMONEY,501423
BirlaNu Limited,,Bombay Burmah Trading Corporation Ltd,BIRLANU,501425
Zinka Logistics Solutions Limited,,Bombay Cycle & Motor Agency Ltd,BLACKBUCK,501430
BEML Land Assets Limited,,Greaves Cotton Ltd,BLAL,501455
BLB Limited,,Muller & Phipps India Ltd,BLBLIMITED,501477
Bliss GVS Pharma Limited,,Springform Technology Ltd,BLISSGVS,501479
B. L. Kashyap and Sons Limited,,Amalgamated Electricity Company Ltd,BLKASHYAP,501622
BLS International Services Limited,,Anand Projects Ltd,BLS,501630
BLS E-Services Limited,,IndiaNivesh Ltd,BLSE,501700
Blue Coast Hotels Limited,,Coastal Corporation Ltd,BLUECOAST,501831
Blue Dart Express Limited,,Chowgule Steamships Ltd,BLUEDART,501833
Blue Jet Healthcare Limited,,Global Offshore Services Ltd,BLUEJET,501848
Blue Star Limited,,ASI Industries Ltd,BLUESTARCO,502015
Bodal Chemicals Limited,,Sagar Cements Ltd,BODALCHEM,502090
Bohra Industries Limited,,Hemadri Cements Ltd,BOHRAIND,502133
Bombay Dyeing & Mfg Company Limited,,Deccan Cements Ltd,BOMDYEING,502137
Borosil Limited,,Mangalam Cement Ltd,BOROLTD,502157
BOROSIL RENEWABLES LIMITED,,NCL Industries Ltd,BORORENEW,502168
Borosil Scientific Limited,,Saurashtra Cement Ltd,BOROSCI,502175
Bosch Limited,,Shree Digvijay Cement Company Ltd,BOSCHLTD,502180
Bharat Petroleum Corporation Limited,,Borosil Renewables Ltd,BPCL,502219
BPL Limited,,Lerthai Finance Ltd,BPL,502250
Brigade Enterprises Limited,,Triveni Glass Ltd,BRIGADE,502281
Britannia Industries Limited,,Nilachal Refractories Ltd,BRITANNIA,502294
Bharat Road Network Limited,,Andhra Paper Ltd,BRNL,502330
Brooks Laboratories Limited,,Balkrishna Industries Ltd,BROOKS,502355
BSE Limited,,Orient Paper & Industries Ltd,BSE,502420
Bombay Super Hybrid Seeds Limited,,Citadel Realty and Developers Ltd,BSHSL,502445
BSL Limited,,Rollatainers Ltd,BSL,502448
BIRLASOFT LIMITED,,Seshasayee Paper and Boards Ltd,BSOFT,502450
Bodhi Tree Multimedia Limited,,Nath Industries Ltd,BTML,502587
Butterfly Gandhimathi Appliances Limited,,Vapi Enterprise Ltd,BUTTERFLY,502589
Barak Valley Cements Limited,,DCM Ltd,BVCL,502820
The Byke Hospitality Ltd,,Gaekwar Mills Ltd ,BYKE,502850
California Software Company Limited,,Forbes & Company Ltd,CALSOFT,502865
Camlin Fine Sciences Limited,,HP Cotton Textile Mills Ltd,CAMLINFINE,502873
Campus Activewear Limited,,United Interactive Ltd,CAMPUS,502893
Computer Age Management Services Limited,,Jamshri Realty Ltd,CAMS,502901
Canara Bank,,Katare Spinning Mills Ltd,CANBK,502933
Can Fin Homes Limited,,Kesoram Industries Ltd,CANFINHOME,502937
Cantabil Retail India Limited,,Lakshmi Mills Company Ltd,CANTABIL,502958
Capacit'e Infraprojects Limited,,Vardhman Textiles Ltd,CAPACITE,502986
Capital Small Finance Bank Limited,,Peninsula Land Ltd,CAPITALSFB,503031
Caplin Point Laboratories Limited,,Pasupati Spinning & Weaving Mills Ltd,CAPLIPOINT,503092
Capital Trust Limited,,The Phoenix Mills Ltd,CAPTRUST,503100
Carborundum Universal Limited,,Marathon Nextgen Realty Ltd,CARBORUNIV,503101
CARE Ratings Limited,,Raja Bahadur International Ltd,CARERATING,503127
Carraro India Limited,,Reliance Chemotex Industries Ltd,CARRARO,503162
Cartrade Tech Limited,,Ruby Mills Ltd,CARTRADE,503169
