NSE,,BSE,NSE.SYMBOL,BSE.SYMBOL
,,Octal Credit Capital Ltd,,538894
,,Mihika Industries Ltd,,538895
,,Kanchi Karpooram Ltd,,538896
,,Dhunseri Tea & Industries Ltd,,538902
,,Vani Commercials Ltd,,538918
,,Skyline Ventures India Ltd,,538919
,,Vintage Coffee And Beverages Ltd,,538920
,,Raghuvansh Agrofarms Ltd,,538921
,,COSYN Ltd,,538922
,,Sofcom Systems Ltd,,538923
,,Naturite Agro Products Ltd,,538926
,,Karnavati Finance Ltd,,538928
,,Abhishek Finlease Ltd,,538935
,,Mercantile Ventures Ltd,,538942
,,Sonal Mercantile Ltd,,538943
,,Abhinav Leasing & Finance Ltd,,538952
,,Genus Paper & Boards Ltd,,538961
,,Minda Corporation Ltd,,538962
,,Mercury Laboratories Ltd,,538964
,,Concord Drugs Ltd,,538965
,,Wardwizard Innovations & Mobility Ltd,,538970
,,Shree Securities Ltd,,538975
,,Greenlam Industries Ltd,,538979
,,Talbros Engineering Ltd,,538987
,,SAR Auto Products Ltd,,538992
,,Jayatma Enterprises Ltd,,539005
,,PTC Industries Ltd,,539006
,,Chennai Ferrous Industries Ltd,,539011
,,Megri Soft Ltd,,539012
,,Gita Renewable Energy Ltd,,539013
,,Ortel Communications Ltd,,539015
,,Neil Industries Ltd,,539016
,,Star Housing Finance Ltd,,539017
,,Beekay Steel Industries Ltd,,539018
,,SSPN Finance Ltd,,539026
,,SBI Mutual Fund - SBI - ETF BSE 100,,539031
,,Fraser and Company Ltd,,539032
,,Tirupati Tyres Ltd,,539040
,,Ganesha Ecoverse Ltd,,539041
,,AGI Infra Ltd,,539042
,,Manaksia Steels Ltd,,539044
,,Manaksia Aluminium Company Ltd,,539045
,,Manaksia Coated Metals & Industries Ltd,,539046
,,Imagicaaworld Entertainment Ltd,,539056
,,Inox Wind Ltd,,539083
,,Rajputana Investment and Finance Ltd,,539090
,,Consecutive Investment & Trading Company Ltd,,539091
,,Aananda Lakshmi Spinning Mills Ltd,,539096
,,UR Sugar Industries Ltd,,539097
,,Filtra Consultants and Engineers Ltd,,539098
,,Athena Constructions Ltd,,539099
,,Northlink Fiscal and Capital Services Ltd,,539110
,,Sheshadri Industries Ltd,,539111
,,SAB Industries Ltd,,539112
,,Paul Merchants Ltd,,539113
,,Alan Scott Industries Ltd,,539115
,,O. P. Chains Ltd,,539116
,,Sujala Trading & Holdings Ltd,,539117
,,VRL Logistics Ltd,,539118
,,Jain Marmo Industries Ltd,,539119
,,Bangalore Fort Farms Ltd,,539120
,,Palco Metals Ltd,,539121
,,V B Industries Ltd,,539123
,,Sarvottam Finvest Ltd,,539124
,,MEP Infrastructure Developers Ltd,,539126
,,Wardwizard Foods and Beverages Ltd,,539132
,,UFO Moviez India Ltd,,539141
,,Panth Infinity Ltd,,539143
,,Shivalik Rasayan Ltd,,539148
,,Integrated Capital Services Ltd,,539149
,,PNC Infratech Ltd,,539150
,,Arfin India Ltd,,539151
,,Virat Leasing Ltd,,539167
,,Helpage Finlease Ltd,,539174
,,Indra Industries Ltd,,539175
,,Hawa Engineers Ltd,,539176
,,Authum Investment & Infrastructure Ltd,,539177
,,Adhbhut Infrastructure Ltd,,539189
,,Decillion Finance Ltd,,539190
,,POCL Enterprises Ltd,,539195
,,Amba Enterprises Ltd,,539196
,,SG Finserve Ltd,,539199
,,Satia Industries Ltd,,539201
,,Genomic Valley Biotech Ltd,,539206
,,Garment Mantra Lifestyle Ltd,,539216
,,Srestha Finvest Ltd,,539217
,,Saumya Consultants Ltd,,539218
,,Mauria Udyog Ltd,,539219
,,Mishka Exim Ltd,,539220
,,Sportking India Ltd,,539221
,,Growington Ventures India Ltd,,539222
,,Rudra Global Infra Products Ltd,,539226
,,Loyal Equipments Ltd,,539227
,,Gala Global Products Ltd,,539228
,,Chemiesynth (Vapi) Ltd,,539230
,,Jyotirgamya Enterprises Ltd,,539246
,,Balkrishna Paper Mills Ltd,,539251
,,Shyam Century Ferrous Ltd,,539252
,,Surya India Ltd,,539253
,,Adani Energy Solutions Ltd,,539254
,,Star Delta Transformers Ltd,,539255
,,Amrapali Fincap Ltd,,539265
,,Samsrita Labs Ltd,,539267
,,Syngene International Ltd,,539268
,,Pecos Hotels and Pubs Ltd,,539273
,,Mangalam Seeds Ltd,,539275
,,Kaya Ltd,,539276
,,Alstone Textiles (India) Ltd,,539277
,,Symbiox Investment & Trading Company Ltd,,539278
,,Ortin Global Ltd,,539287
,,AVI Polymers Ltd,,539288
,,Aurum PropTech Ltd,,539289
,,Oswal Greentech Ltd,,539290
,,Vasudhagama Enterprises Ltd,,539291
,,A.K. Spintex Ltd,,539300
,,Arvind SmartSpaces Ltd,,539301
,,Power Mech Projects Ltd,,539302
,,Rama Steel Tubes Ltd,,539309
,,Thinkink Picturez Ltd,,539310
,,UTI BSE SENSEX ETF,,539312
,,UTI NIFTY 50 ETF,,539313
,,Universal Autofoundry Ltd,,539314
,,Veto Switchgears and Cables Ltd,,539331
,,Navkar Corporation Ltd,,539332
,,Shree Pushkar Chemicals & Fertilisers Ltd,,539334
,,Gujarat Gas Ltd,,539336
,,Waaree Technologies Ltd,,539337
,,Sadbhav Infrastructure Project Ltd,,539346
,,P. B. Films Ltd,,539352
,,Sal Automotive Ltd,,539353
,,Polyspin Exports Ltd,,539354
,,Pritika Auto Industries Ltd,,539359
,,Soni Medicare Ltd,,539378
,,Mahaveer Infoway Ltd,,539383
,,Krishna Capital and Securities Ltd,,539384
,,Acme Resources Ltd,,539391
,,Kabra Commercial Ltd,,539393
,,Vishal Bearings Ltd,,539398
,,Bella Casa Fashion & Retail Ltd,,539399
,,Mallcom (India) Ltd,,539400
,,Patdiam Jewellery Ltd,,539401
,,Naksh Precious Metals Ltd,,539402
,,Satin Creditcare Network Ltd,,539404
,,Decorous Investment & Trading Co Ltd,,539405
,,Swagtam Trading & Services Ltd,,539406
,,Generic Engineering Construction and Projects Ltd,,539407
,,Kuber Udyog Ltd,,539408
,,Neeraj Paper Marketing Ltd,,539409
,,Tejnaksh Healthcare Ltd,,539428
,,Brilliant Portfolios Ltd,,539434
,,Richfield Financial Services Ltd,,539435
,,Coffee Day Enterprises Ltd,,539436
,,IDFC First Bank Ltd,,539437
,,InterGlobe Aviation Ltd,,539448
,,IGC Industries Ltd,,539449
,,S H Kelkar and Company Ltd,,539450
,,Aryavan Enterprise Ltd,,539455
,,Typhoon Financial Services Ltd,,539468
,,Panorama Studios International Ltd,,539469
,,Shree Ganesh Biotech (India) Ltd,,539470
,,GTV Engineering Ltd,,539479
,,LIC MF EXCHANGE TRADED FUND- NIFTY 50,,539480
,,LIC MF EXCHANGE TRADED FUND- SENSEX,,539487
,,Tirupati Finlease Ltd,,539488
,,Garbi Finvest Ltd,,539492
,,Smart Finsec Ltd,,539494
,,Rajkot Investment Trust Ltd,,539495
,,Adcon Capital Services Ltd,,539506
,,Quint Digital Ltd,,539515
,,HDFC NIFTY 50 ETF,,539516
,,HDFC S&P BSE Sensex ETF,,539517
,,Uday Jewellery Industries Ltd,,539518
,,Sattva Sukun Lifecare Ltd,,539519
,,Navigant Corporate Advisors Ltd,,539521
,,Grovy India Ltd,,539522
,,Alkem Laboratories Ltd,,539523
,,Dr. Lal PathLabs Ltd,,539524
,,Suncare Traders Ltd,,539526
,,Creative Castings Ltd,,539527
,,Aayush Wellness Ltd,,539528
,,Elitecon International Ltd,,539533
,,Lux Industries Ltd,,539542
,,Valley Magnesite Company Ltd,,539543
,,Abhishek Infraventures Ltd,,539544
,,Apoorva Leasing Finance and Investment Company Ltd,,539545
,,Agribio Spirits Ltd,,539546
,,Narayana Hrudayalaya Ltd,,539551
,,F Mec International Financial Services Ltd,,539552
,,Deep Diamond India Ltd,,539559
,,Abhijit Trading Company Ltd,,539560
,,Remedium Lifecare Ltd,,539561
,,Aarnav Fashions Ltd,,539562
,,Sunshine Capital Ltd,,539574
,,Sharanam Infraproject and Trading Ltd,,539584
,,Shivansh Finserve Ltd,,539593
,,Mishtann Foods Ltd,,539594
,,Delta Industrial Resources Ltd,,539596
,,Credent Global Finance Ltd,,539598
,,Kotia Enterprises Ltd,,539599
,,Blue Cloud Softech Solutions Ltd,,539607
,,Kanoria Energy & Infrastructure Ltd,,539620
,,BCL Enterprises Ltd,,539621
,,Precision Camshafts Ltd,,539636
,,TeamLease Services Ltd,,539658
,,Vikram Kamats Hospitality Ltd,,539659
,,Best Agrolife Ltd,,539660
,,Ace Men Engg Works Ltd,,539661
,,BFL Asset Finvest Ltd,,539662
,,RGF Capital Markets Ltd,,539669
,,Radhagobind Commercial Ltd,,539673
,,Quick Heal Technologies Ltd,,539678
,,Kapil Raj Finance Ltd,,539679
,,Ganga Pharmaceuticals Ltd,,539680
,,Dynamic Archistructures Ltd,,539681
,,Lucent Industries Ltd,,539682
,,Shivkamal Impex Ltd,,539683
,,K.P. Energy Ltd,,539686
,,Real Growth Corporation Ltd,,539691
,,Interactive Financial Services Ltd,,539692
,,Hiliks Technologies Ltd,,539697
,,Gokul Agro Resources Ltd,,539725
,,Fredun Pharmaceuticals Ltd,,539730
,,Simbhaoli Sugars Ltd,,539742
,,Relicab Cable Manufacturing Ltd,,539760
,,Vantage Knowledge Academy Ltd,,539761
,,Modern Engineering And Projects Ltd,,539762
,,Mega Nirman and Industries Ltd,,539767
,,Darjeeling Ropeway Company Ltd,,539770
,,Advik Capital Ltd,,539773
,,LIC MF Exchange Traded Fund- NIFTY 100,,539784
,,Pudumjee Paper Products Ltd,,539785
,,HealthCare Global Enterprises Ltd,,539787
,,Khemani Distributors & Marketing Ltd,,539788
,,Umiya Tubes Ltd,,539798
,,Bharat Wire Ropes Ltd,,539799
,,CHD Chemicals Ltd,,539800
,,Infibeam Avenues Ltd,,539807
,,LE Lavoir Ltd,,539814
,,Mudra Financial Services Ltd,,539819
,,Balgopal Commercial Ltd,,539834
,,Superior Finlease Ltd,,539835
,,Raghav Productivity Enhancers Ltd,,539837
,,Franklin Leasing and Finance Ltd,,539839
,,Lancer Container Lines Ltd,,539841
,,NINtec Systems Ltd,,539843
,,Halder Venture Ltd,,539854
,,Thyrocare Technologies Ltd,,539871
,,Bajaj Healthcare Ltd,,539872
,,RSD Finance Ltd,,539875
,,Crompton Greaves Consumer Electricals Ltd,,539876
,,Pilani Investment and Industries Corporation Ltd,,539883
,,Darshan Orna Ltd,,539884
,,Parag Milk Foods Ltd,,539889
,,Madhav Infra Projects Ltd,,539894
,,Shalimar Agencies Ltd,,539895
,,Dalmia Industrial Development Ltd,,539900
,,Svarnim Trade Udyog Ltd,,539911
,,Nagarjuna Fertilizers and Chemicals Ltd,,539917
,,Shanti Educational Initiatives Ltd,,539921
,,Likhami Consulting Ltd,,539927
,,Medico Intercontinental Ltd,,539938
,,Yash Chemex Ltd,,539939
,,ICICI Prudential Nifty50 Value 20 ETF,,539945
,,Bazel International Ltd,,539946
,,Jindal Leasefin Ltd,,539947
,,TAAL Enterprises Ltd,,539956
,,Mahanagar Gas Ltd,,539957
,,Zeal Aqua Ltd,,539963
,,Quess Corp Ltd,,539978
,,Digjam Ltd,,539979
,,ICICI Prudential BSE Midcap Select ETF,,539980
,,Hindusthan Urban Infrastructure Ltd,,539984
,,Titaanium Ten Enterprise Ltd,,539985
,,Commercial Syn Bags Ltd,,539986
,,Confidence Futuristic Energetech Ltd,,539991
,,Lloyds Engineering Works Ltd,,539992
,,Kwality Pharmaceuticals Ltd,,539997
,,LTIMindtree Ltd,,540005
,,East West Freight Carriers Ltd,,540006
,,Aditya Birla Sun Life BSE Sensex ETF,,540008
,,Colorchips New Media Ltd,,540023
,,Advanced Enzyme Technologies Ltd,,540025
,,Ladam Affordable Housing Ltd,,540026
,,Dilip Buildcon Ltd,,540047
,,S.P. Apparels Ltd,,540048
,,Bigbloc Construction Ltd,,540061
,,Golden Crest Education & Services Ltd,,540062
,,ECS Biztech Ltd,,540063
,,RBL Bank Ltd,,540065
,,AMS Polymers Ltd,,540066
,,Shiva Granito Export Ltd,,540072
,,BLS International Services Ltd,,540073
,,Mitsu Chem Plast Ltd,,540078
,,Sprayking Ltd,,540079
,,Dhatre Udyog Ltd,,540080
,,SAB Events & Governance Now Media Ltd,,540081
,,Riddhi Steel and Tube Ltd,,540082
,,TV Vision Ltd,,540083
,,Gamco Ltd,,540097
,,Tiaan Consumer Ltd,,540108
,,L&T Technology Services Ltd,,540115
,,G N A Axles Ltd,,540124
,,Radhika Jeweltech Ltd,,540125
,,Sabrimala Industries India Ltd,,540132
,,ICICI Prudential Life Insurance Company Ltd,,540133
,,Ishaan Infrastructures and Shelters Ltd,,540134
,,ARC Finance Ltd,,540135
,,HPL Electric & Power Ltd,,540136
,,Sagarsoft (India) Ltd,,540143
,,DRA Consultants Ltd,,540144
,,Valiant Organics Ltd,,540145
,,Aditya Consumer Marketing Ltd,,540146
,,Shashijit Infraprojects Ltd,,540147
,,Bindal Exports Ltd,,540148
,,Mewar Hi-Tech Engineering Ltd,,540150
,,Diksat Transworld Ltd,,540151
,,Endurance Technologies Ltd,,540153
,,Bandhan S&P BSE SENSEX ETF,,540154
,,Purple Entertainment Ltd,,540159
,,Supra Pacific Financial Services Ltd,,540168
,,PNB Housing Finance Ltd,,540173
,,Southern Infosys Ltd,,540174
,,Regency Fincorp Ltd,,540175
,,Varun Beverages Ltd,,540180
,,Salem Erode Investments Ltd,,540181
,,Franklin Industries Ltd,,540190
,,LKP Securities Ltd,,540192
,,Osiajee Texfab Ltd,,540198
,,Corporate Merchant Bankers Ltd,,540199
,,Sheela Foam Ltd,,540203
,,Eiko Lifesciences Ltd,,540204
,,Aditya Vision Ltd,,540205
,,Heads UP Ventures Ltd,,540210
,,TCI Express Ltd,,540212
,,Shashank Traders Ltd,,540221
,,Laurus Labs Ltd,,540222
,,New Light Apparels Ltd,,540243
,,Veeram Securities Ltd,,540252
,,Marg Techno Projects Ltd,,540254
,,Globe Commercials Ltd,,540266
,,Flora Corporation Ltd,,540267
,,TruCap Finance Ltd,,540268
,,Super Fine Knitters Ltd,,540269
,,Raideep Industries Ltd,,540270
,,Pricol Ltd,,540293
,,Classic Filaments Ltd,,540310
,,JITF Infralogistics Ltd,,540311
,,Sueryaa Knitwear Ltd,,540318
,,Tanvi Foods (India) Ltd,,540332
,,RMC Switchgears Ltd,,540358
,,Parmax Pharma Ltd,,540359
,,Leading Leasing Finance And Investment Company Ltd,,540360
,,Danube Industries Ltd,,540361
,,Music Broadcast Ltd,,540366
,,Avenue Supermarts Ltd,,540376
,,IFL Enterprises Ltd,,540377
,,Ontic Finserve Ltd,,540386
,,Sarthak Metals Ltd,,540393
,,Chemcrux Enterprises Ltd,,540395
,,Manomay Tex India Ltd,,540396
,,Maximus International Ltd,,540401
,,Manas Properties Ltd,,540402
,,CL Educate Ltd,,540403
,,Prime Fresh Ltd,,540404
,,Oceanic Foods Ltd,,540405
,,Octaware Technologies Ltd,,540416
,,Shankara Building Products Ltd,,540425
,,Escorp Asset Management Ltd,,540455
,,Parmeshwari Silk Mills Ltd,,540467
,,KMS Medisurgi Ltd,,540468
,,Classic Leasing & Finance Ltd,,540481
,,Starlineps Enterprises Ltd,,540492
,,S Chand and Company Ltd,,540497
,,Kanungo Financiers Ltd,,540515
,,Meera Industries Ltd,,540519
,,Housing & Urban Development Corporation Ltd,,540530
,,PSP Projects Ltd,,540544
,,Bhakti Gems and Jewellery Ltd,,540545
,,Yug Decor Ltd,,540550
,,Variman Global Enterprises Ltd,,540570
,,Star Cement Ltd,,540575
,,Riddhi Corporate Services Ltd,,540590
,,Tejas Networks Ltd,,540595
,,Eris Lifesciences Ltd,,540596
,,Containerway International Ltd,,540597
,,GTPL Hathway Ltd,,540602
,,AU Small Finance Bank Ltd,,540611
,,ICICI Prudential Nifty 100 Low Volatility 30 ETF,,540612
,,Gautam Exim Ltd,,540613
,,G G Engineering Ltd,,540614
,,7NR Retail Ltd,,540615
,,Salasar Techno Engineering Ltd,,540642
,,Ganges Securities Ltd,,540647
,,Palash Securities Ltd,,540648
,,Avadh Sugar & Energy Ltd,,540649
,,Magadh Sugar & Energy Ltd,,540650
,,Jigar Cables Ltd,,540651
,,Captain Technocast Ltd,,540652
,,Globalspace Technologies Ltd,,540654
,,UTI Nifty Next 50 ETF,,540669
,,SIS Ltd,,540673
,,Cochin Shipyard Ltd,,540678
,,SMS Lifesciences India Ltd,,540679
,,KIOCL Ltd,,540680
,,Chothani Foods Ltd,,540681
,,Smruthi Organics Ltd,,540686
,,Aditya Birla Capital Ltd,,540691
,,Apex Frozen Foods Ltd,,540692
,,Shish Industries Ltd,,540693
,,ANG Lifesciences India Ltd,,540694
,,KCD Industries India Ltd,,540696
,,Dixon Technologies (India) Ltd,,540699
,,Bharat Road Network Ltd,,540700
,,Dishman Carbogen Amcis Ltd,,540701
,,Lasa Supergenerics Ltd,,540702
,,Pro Clb Global Ltd,,540703
,,Matrimony.com Ltd,,540704
,,Reliance Home Finance Ltd,,540709
,,Capacite Infraprojects Ltd,,540710
,,ICICI Lombard General Insurance Company Ltd,,540716
,,Polo Queen Industrial and Fintech Ltd,,540717
,,Aayush Art And Bullion Ltd,,540718
,,SBI Life Insurance Company Ltd,,540719
,,Prataap Snacks Ltd,,540724
,,Share India Securities Ltd,,540725
,,Trident Texofab Ltd,,540726
,,Poojawestern Metaliks Ltd,,540727
,,Sayaji Industries Ltd,,540728
,,Vanta Bioscience Ltd,,540729
,,Mehai Technology Ltd,,540730
,,IRIS Business Services Ltd,,540735
,,Shree Ganesh Remedies Ltd,,540737
,,Shreeji Translogistics Ltd,,540738
,,Godrej Agrovet Ltd,,540743
,,MAS Financial Services Ltd,,540749
,,Indian Energy Exchange Ltd,,540750
,,General Insurance Corporation of India,,540755
,,Kaarya Facilities and Services Ltd,,540756
,,Sheetal Cool Products Ltd,,540757
,,Tube Investments of India Ltd,,540762
,,Nippon Life India Asset Management Ltd,,540767
,,Mahindra Logistics Ltd,,540768
,,The New India Assurance Company Ltd,,540769
,,IFGL Refractories Ltd,,540774
,,Khadim India Ltd,,540775
,,5paisa Capital Ltd,,540776
,,HDFC Life Insurance Company Ltd,,540777
,,Sanghvi Brands Ltd,,540782
,,Sharika Enterprises Ltd,,540786
,,BHARAT 22 ETF - ICICI Prudential AMC,,540787
,,Aspira Pathlab & Diagnostics Ltd,,540788
,,Diligent Media Corporation Ltd,,540789
,,Dynamic Cables Ltd,,540795
,,Ratnabhumi Developers Ltd,,540796
,,Shalby Ltd,,540797
,,Future Supply Chain Solutions Ltd,,540798
,,MRC Agrotech Ltd,,540809
,,Diggi Multitrade Ltd,,540811
,,Crystal Business System Ltd,,540821
,,Astron Paper & Board Mill Ltd,,540824
,,Chandrima Mercantiles Ltd,,540829
,,Rithwik Facility Management Services Ltd,,540843
,,Jhandewalas Foods Ltd,,540850
,,7Seas Entertainment Ltd,,540874
,,Apollo Micro Systems Ltd,,540879
,,Newgen Software Technologies Ltd,,540900
,,Praxis Home Retail Ltd,,540901
,,Amber Enterprises India Ltd,,540902
,,Tirupati Foam Ltd,,540904
,,SRU Steels Ltd,,540914
,,Ashoka Metcast Ltd,,540923
,,Galaxy Surfactants Ltd,,540935
,,Gautam Gems Ltd,,540936
,,Medico Remedies Ltd,,540937
,,Gujarat Hy-Spin Ltd,,540938
,,Lorenzini Apparels Ltd,,540952
,,Kenvi Jewels Ltd,,540953
,,The Indian Wood Products Company Ltd,,540954
,,Tasty Dairy Specialities Ltd,,540955
,,Bhatia Communications & Retail (India) Ltd,,540956
,,Shiva Mills Ltd,,540961
,,Aster DM Healthcare Ltd,,540975
,,The Yamuna Syndicate Ltd,,540980
,,Kanco Tea & Industries Ltd,,541005
,,Angel Fibers Ltd,,541006
,,H.G. Infra Engineering Ltd,,541019
,,Inflame Appliances Ltd,,541083
,,Bharat Parenterals Ltd,,541096
,,Shreeshay Engineers Ltd,,541112
,,Apex Capital And Finance Ltd,,541133
,,Bharat Dynamics Ltd,,541143
,,Active Clothing Co Ltd,,541144
,,Goyal Aluminiums Ltd,,541152
,,Bandhan Bank Ltd,,541153
,,Hindustan Aeronautics Ltd,,541154
,,KBC Global Ltd,,541161
,,Sandhar Technologies Ltd,,541163
,,Yasho Industries Ltd,,541167
,,Benara Bearings and Pistons Ltd,,541178
,,Mishra Dhatu Nigam Ltd,,541195
,,Lex Nimble Solutions Ltd,,541196
,,Orissa Bengal Carrier Ltd,,541206
,,Taylormade Renewables Ltd,,541228
,,Lemon Tree Hotels Ltd,,541233
,,Chemfab Alkalis Ltd,,541269
,,Hardwyn India Ltd,,541276
,,Dr Lalchandani Labs Ltd,,541299
,,Orient Electric Ltd,,541301
,,Dhruv Consultancy Services Ltd,,541302
,,Akshar Spintex Ltd,,541303
,,Indo Us Bio-Tech Ltd,,541304
,,ICICI Prudential BSE 500 ETF,,541313
,,Indostar Capital Finance Ltd,,541336
,,Milestone Furniture Ltd,,541337
,,U. H. Zaveri Ltd,,541338
,,Parvati Sweetners and Power Ltd,,541347
,,Megastar Foods Ltd,,541352
,,Innovators Facade Systems Ltd,,541353
,,Unifinz Capital India Ltd,,541358
,,Zim Laboratories Ltd,,541400
,,Affordable Robotic & Automation Ltd,,541402
,,Dollar Industries Ltd,,541403
,,Nakoda Group of Industries Ltd,,541418
,,Palm Jewels Ltd,,541444
,,Waa Solar Ltd,,541445
,,Adani Green Energy Ltd,,541450
,,Unick Fix-A-Form And Printers Ltd,,541503
,,Solara Active Pharma Sciences Ltd,,541540
,,Gayatri Highways Ltd,,541546
,,RITES Ltd,,541556
,,Fine Organic Industries Ltd,,541557
,,Varroc Engineering Ltd,,541578
,,Rajnish Wellness Ltd,,541601
,,Gujarat Winding Systems Ltd,,541627
,,Sophia Traexpo Ltd,,541633
,,Raw Edge Industrial Solutions Ltd,,541634
,,Supershakti Metaliks Ltd,,541701
,,Ashnisha Industries Ltd,,541702
,,Raconteur Global Resources Ltd,,541703
,,HDFC Asset Management Company Ltd,,541729
,,Vivanta Industries Ltd,,541735
,,Fratelli Vineyards Ltd,,541741
,,CreditAccess Grameen Ltd,,541770
,,Amin Tannery Ltd,,541771
,,Deep Polymers Ltd,,541778
,,Sungold Media and Entertainment Ltd,,541799
,,ICICI Prudential Nifty Next 50 ETF,,541809
,,Add-Shop ERetail Ltd,,541865
,,Space Incubatrics Technologies Ltd,,541890
,,Synergy Green Industries Ltd,,541929
,,Ranjeet Mechatronics Ltd,,541945
,,IRCON International Ltd,,541956
,,Sky Gold And Diamonds Ltd,,541967
,,SBI - ETF - SENSEX NEXT 50,,541972
,,Mac Hotels Ltd,,541973
,,Manorama Industries Ltd,,541974
,,Innovative Ideals and Services (India) Ltd,,541983
,,AAVAS Financiers Ltd,,541988
,,Garden Reach Shipbuilders & Engineers Ltd,,542011
,,A-1 Ltd,,542012
,,Dolfin Rubbers Ltd,,542013
,,Shubham Polyspin Ltd,,542019
,,AKI India Ltd,,542020
,,Sun Retail Ltd,,542025
,,S. M. Gold Ltd,,542034
,,Vivid Mercantile Ltd,,542046
,,BCPL Railway Infrastructure Ltd,,542057
,,Adani Total Gas Ltd,,542066
,,The Phosphate Company Ltd,,542123
,,MIRAE ASSET NIFTY 50 ETF (MAN50ETF),,542131
,,Techno Electric & Engineering Company Ltd,,542141
,,Roni Households Ltd,,542145
,,Shree Krishna Infrastructure Ltd,,542146
,,Diksha Greens Ltd,,542155
,,Aryan Share and Stock Brokers Ltd,,542176
,,Nivaka Fashions Ltd,,542206
,,Dalmia Bharat Ltd,,542216
,,Aditya Birla Sun Life Nifty Next 50 ETF,,542230
,,Nila Spaces Ltd,,542231
,,Shankar Lal Rampal Dye-Chem Ltd,,542232
,,Trejhara Solutions Ltd,,542233
,,Deccan Health Care Ltd,,542248
,,Axita Cotton Ltd,,542285
,,KPI Green Energy Ltd,,542323
,,Hi-Klass Trading and Investment Ltd,,542332
,,RPSG Ventures Ltd,,542333
,,Spencers Retail Ltd,,542337
,,Gloster Ltd,,542351
,,Xelpmoc Design and Tech Ltd,,542367
,,SPA Capital Services Ltd,,542376
,,Ritco Logistics Ltd,,542383
,,Chalet Hotels Ltd,,542399
,,Anmol India Ltd,,542437
,,Jonjua Overseas Ltd,,542446
,,Kranti Industries Ltd,,542459
,,The Anup Engineering Ltd,,542460
,,Arvind Fashions Ltd,,542484
,,UTI BSE Sensex Next 50 ETF,,542513
,,Jyot International Marketing Ltd,,542544
,,Ashapuri Gold Ornament Ltd,,542579
,,Aartech Solonics Ltd,,542580
,,Humming Bird Education Ltd,,542592
,,MSTC Ltd,,542597
,,Roopshri Resorts Ltd,,542599
,,Chandni Machines Ltd,,542627
,,Northern Spirits Ltd,,542628
,,Rail Vikas Nigam Ltd,,542649
,,Metropolis Healthcare Ltd,,542650
,,KPIT Technologies Ltd,,542651
,,Polycab India Ltd,,542652
,,V R Films & Studios Ltd,,542654
,,Vikas Lifecare Ltd,,542655
,,Neogen Chemicals Ltd,,542665
,,G. K. P. Printing & Packaging Ltd,,542666
,,Evans Electric Ltd,,542668
,,BMW Industries Ltd,,542669
,,Artemis Electricals and Projects Ltd,,542670
,,Cian Healthcare Ltd,,542678
,,Dhanashree Electronics Ltd,,542679
,,Harish Textile Engineers Ltd,,542682
,,Prakash Pipes Ltd,,542684
,,Digicontent Ltd,,542685
,,Parshva Enterprises Ltd,,542694
,,Anand Rayons Ltd,,542721
,,Murae Organisor Ltd,,542724
,,SBC Exports Ltd,,542725
,,IndiaMART InterMESH Ltd,,542726
,,City Pulse Multiplex Ltd,,542727
,,SK International Export Ltd,,542728
,,DCM Nouvelle Ltd,,542729
,,ICICI Prudential Nifty Bank ETF,,542730
,,Nippon India ETF S&P BSE Sensex Next 50,,542747
,,Affle 3I Ltd,,542752
,,Seacoast Shipping Services Ltd,,542753
,,ICICI Prudential Nifty Private Bank ETF,,542758
,,Spandana Sphoorty Financial Ltd,,542759
,,Sterling and Wilson Renewable Energy Ltd,,542760
,,Transpact Enterprises Ltd,,542765
,,Alphalogic Techsys Ltd,,542770
,,Novateor Research Laboratories Ltd,,542771
,,360 ONE WAM LTD,,542772
,,IIFL Capital Services Ltd,,542773
,,Mufin Green Finance Ltd,,542774
,,Misquita Engineering Ltd,,542801
,,Galactico Corporate Services Ltd,,542802
,,Vaxfab Enterprises Ltd,,542803
,,Gujarat Fluorochemicals Ltd,,542812
,,Indian Railway Catering and Tourism Corporation Ltd,,542830
,,Goblin India Ltd,,542850
,,Gensol Engineering Ltd,,542851
,,Vishwaraj Sugar Industries Ltd,,542852
,,Greenpanel Industries Ltd,,542857
,,Shahlon Silk Industries Ltd,,542862
,,Aditya Birla Sun Life Nifty Bank ETF,,542863
,,Mount Housing and Infrastructure Ltd,,542864
,,Anuroop Packaging Ltd,,542865
,,Colab Platforms Ltd,,542866
,,CSB Bank Ltd,,542867
,,Ujjivan Small Finance Bank Ltd,,542904
,,Hindware Home Innovation Ltd,,542905
,,Easun Capital Markets Ltd,,542906
,,Prince Pipes and Fittings Ltd,,542907
,,Assam Entrade Ltd,,542911
,,Gian Life Care Ltd,,542918
,,Artemis Medicare Services Ltd,,542919
,,Sumitomo Chemical India Ltd,,542920
,,ICICI Prudential Nifty Midcap 150 ETF,,542921
,,Mirae Asset Nifty Next 50 ETF (MANXT50ETF),,542922
,,Vardhan Capital & Finance Ltd,,542931
,,Universus Photo Imagings Ltd,,542933
,,Chandra Bhagat Pharma Ltd,,542934
,,Octavius Plantations Ltd,,542938
,,Cohance Lifesciences Ltd,,543064
,,SM Auto Stamping Ltd,,543065
,,SBI Cards and Payment Services Ltd,,543066
,,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - MONTHLY DIVIDEND PLAN(Issue Price: 0.01),,543144
